"ID";"Name";"StationCapacity";"BikeParkingSlotsAmount";"global_id";"Longitude_WGS84";"Latitude_WGS84";"AdmArea";"District";"Location";"ClarificationOfLocation";"DepartmentalAffiliation";"OperOrgName";"OperOrgWebsite";"Photo";"geodata_center";"geoarea";
"217";"Пункт проката велосипедов № 462";"12";"";"14937155";"37.654590";"55.772518";"Центральный административный округ";"Красносельский район";"Рязанский проезд, Комсомольская площадь, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"cb854628-ae6b-4378-89e9-fa3ecc4c1574";"0101000000F224E99AC9D3424021C9ACDEE1E24B40";"";
"218";"Пункт проката велосипедов № 440";"12";"";"14937156";"37.633319";"55.779945";"Центральный административный округ";"Мещанский район";"Проспект мира, дом 40";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"b802322a-d404-4b3a-8b19-4f5cae33b153";"0101000000BC77D49810D14240E0D6DD3CD5E34B40";"";
"219";"Пункт проката велосипедов № 430";"12";"";"14937157";"37.622634";"55.779102";"Центральный административный округ";"Мещанский район";"Олимпийский проспект, дом 14";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"c619c14b-c83a-4428-a547-5469e1cae505";"010100000057B08D78B2CF4240C51F459DB9E34B40";"";
"221";"Пункт проката велосипедов № 411";"12";"";"14937159";"37.613739";"55.781410";"Центральный административный округ";"Тверской район";"улица Селезневская, дом 29, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"14155182-0191-4d72-be97-a13f1608bd6b";"0101000000CFA3E2FF8ECE424039622D3E05E44B40";"";
"222";"Пункт проката велосипедов № 420";"12";"";"14937160";"37.616504";"55.785259";"Центральный административный округ";"Мещанский район";"улица Советской Армии, дом 2, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"2fd67f09-6350-49c9-a567-8b686ce0de86";"010100000035ED629AE9CE4240E1F1ED5D83E44B40";"";
"223";"Пункт проката велосипедов № 236";"12";"";"14937161";"37.572071";"55.765613";"Центральный административный округ";"Пресненский район";"улица Малая Грузинская, дом 19/2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"0c413c84-de79-45f3-9386-c9aab6bdb7a9";"0101000000B9FE5D9F39C942403C32569BFFE14B40";"";
"225";"Пункт проката велосипедов № 374";"12";"";"14937163";"37.552978";"55.651252";"Юго-Западный административный округ";"район Черёмушки";"улица Обручева, дом 33 А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"025c4fdf-23f3-4729-b42e-7fba78e62bb9";"010100000029B4ACFBC7C6424030BABC395CD34B40";"";
"228";"Пункт проката велосипедов № 375";"14";"";"14937166";"37.564201";"55.650211";"Юго-Западный административный округ";"район Черёмушки";"улица Обручева, дом 65/54";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"b401aa9e-5e86-4001-ba60-8adaac0e1b20";"01010000006CAF05BD37C84240EE3F321D3AD34B40";"";
"229";"Пункт проката велосипедов № 386";"12";"";"14937167";"37.519916";"55.634468";"Юго-Западный административный округ";"район Коньково";"улица Островитянова, дом 29/120";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"a57a2b31-d168-4f74-be08-20dbb90dc137";"01010000006555849B8CC24240E42D573F36D14B40";"";
"230";"Пункт проката велосипедов № 333";"12";"";"14937168";"37.539688";"55.656261";"Юго-Западный административный округ";"Обручевский район";"улица Профсоюзная, дом 61 А";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"dfd8c07e-4ba3-4aee-8a6f-0fa0484ffbc9";"01010000009605137F14C54240F451465C00D44B40";"";
"231";"Пункт проката велосипедов № 371";"12";"";"14937169";"37.559341";"55.660896";"Юго-Западный административный округ";"район Черёмушки";"улица Новочеремушкинская, дом 71/32";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"7715c51a-ada1-4019-9cad-37aedfe3d430";"0101000000EE27637C98C742405307793D98D44B40";"";
"232";"Пункт проката велосипедов № 422";"12";"";"14937170";"37.616046";"55.792575";"Северо-Восточный административный округ";"район Марьина Роща";"улица Советской Армии, дом 17/52";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"28a00bac-7276-44ea-93a2-eb51341609b3";"0101000000726A6798DACE42404850FC1873E54B40";"";
"235";"Пункт проката велосипедов № 415";"12";"";"14937173";"37.590904";"55.791374";"Центральный административный округ";"Тверской район";"улица Сущевский Вал, дом 2";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"ac3aca1d-b2c6-413c-8607-e6f6acd88f0a";"0101000000AD8905BEA2CB4240CD7344BE4BE54B40";"";
"236";"Пункт проката велосипедов № 347";"12";"";"14937174";"37.589305";"55.691394";"Юго-Западный административный округ";"Академический район";"улица Шверника, дом 13, корпус 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"4b6a6132-8dc1-4202-a80b-69940446756e";"0101000000452FA3586ECB424048533D997FD84B40";"";
"237";"Пункт проката велосипедов № 461";"12";"";"14937175";"37.646671";"55.771965";"Центральный административный округ";"Красносельский район";"Орликов переулок, дом 3, строение 7";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"ffdb3a89-c7f6-4b79-b764-03976cbb6be9";"0101000000C422861DC6D242400D54C6BFCFE24B40";"";
"239";"Пункт проката велосипедов № 78";"12";"";"14937177";"37.627651";"55.735363";"Центральный административный округ";"район Замоскворечье";"улица Пятницкая, дом 48, строение 1";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"f09f8d31-6ed7-461f-9aa8-2bc3b70b3e88";"01010000009E2633DE56D042401FD8F15F20DE4B40";"";
"241";"Пункт проката велосипедов № 318";"12";"";"14937179";"37.572990";"55.703250";"Юго-Западный административный округ";"Гагаринский район";"Ленинский проспект, дом 45";"";"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы";"АО «СитиБайк»";"www.velobike.ru";"39f20d29-a5aa-4c29-8f8b-b2a4703872f1";"0101000000AF777FBC57C94240BC74931804DA4B40";"";
